listing_id,update_time,listing_name,location_address,orgnization,orgnization_1,orgnization_2,orgnization_3,orgnization_4,orgnization_888,orgnization_1_desc,orgnization_2_desc,orgnization_3_desc,orgnization_4_desc,orgnization_other_desc,diversegroup,diversegroup_1,diversegroup_2,diversegroup_3,diversegroup_4,diversegroup_5,diversegroup_6,diversegroup_888,diversegroup_other_desc,listing_desc,location_x,location_y,location_desc,facilities,facilities_1,facilities_2,facilities_3,facilities_4,facilities_888,facilities_other_desc,specialproductionmethods,specialproductionmethods_1,specialproductionmethods_2,specialproductionmethods_3,specialproductionmethods_4,specialproductionmethods_5,specialproductionmethods_6,specialproductionmethods_7,specialproductionmethods_8,specialproductionmethods_9,specialproductionmethods_10,specialproductionmethods_11,specialproductionmethods_12,specialproductionmethods_13,specialproductionmethods_14,specialproductionmethods_888,specialproductionmethods_other_desc,saleschannel_onlineorder,saleschannel_onlineorder_1,saleschannel_onlineorder_2,saleschannel_onlineorder_3,saleschannel_onlineorder_888,saleschannel_onlineorder_2_desc,saleschannel_onlineorder_3_desc,saleschannel_onlineorder_other_desc,saleschannel_phoneorder,saleschannel_csaorder,saleschannel_csaorder_1,saleschannel_csaorder_2,saleschannel_csaorder_3,saleschannel_csaorder_1_desc,saleschannel_csaorder_2_desc,saleschannel_csaorder_3_desc,saleschannel_deliverymethod,saleschannel_deliverymethod_1,saleschannel_deliverymethod_2,saleschannel_deliverymethod_3,saleschannel_deliverymethod_2_desc,acceptedpayment,acceptedpayment_1,acceptedpayment_2,acceptedpayment_3,acceptedpayment_4,acceptedpayment_5,acceptedpayment_6,acceptedpayment_7,acceptedpayment_888,acceptedpayment_7_desc,acceptedpayment_other_desc,FNAP,FNAP_1,FNAP_2,FNAP_3,FNAP_888,FNAP_3_desc,FNAP_other_desc
701645,2022-03-17 11:21:20,Starr Ranch Growers,"Wenatchee, WA",International Fresh Produce Association;Washington Apple Growers Marketing Association;,1,1,0,0,0,International Fresh Produce Association,Washington Apple Growers Marketing Association,,,,,0,0,0,0,0,0,0,,"We are growers of apples, cherries and blueberries in central Washington state.  We offer direct deliveries to regional retailers, schools, healthcare facilities, and institutions with our products along with other Washington state grown fresh produce.  We also offer direct to consumer sales.  Farm tours are not available at this time.",,,,,0,0,0,0,0,,Good Agricultural Practices (GAP)-Certified;,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Through farm’s website;,1,0,0,0,,,,Yes;,,0,0,0,,,,"On-farm pickups/roadside stands;Local, regional and national retailers;Delivery to customers’ home;",1,1,1,"Local, regional and national retailers",Cash;Personal Checks;Debit card/Credit card;,0,0,1,1,0,1,0,0,,,,0,0,0,0,,
701646,2022-03-17 11:38:04,Crabtree Farms of Chattanooga,"1000 East 30th Street, Chattanooga, TN, USA","National Young Farmers Coalition;Southeast TN Chapter of the National Young Farmers Coaltion;Tennessee Association of Farmers Markets;Local Foods, Local Places Initiative;",1,1,1,1,0,National Young Farmers Coalition,Southeast TN Chapter of the National Young Farmers Coaltion,Tennessee Association of Farmers Markets,"Local Foods, Local Places Initiative",,Non-profit urban farm;,0,0,0,0,0,0,1,Non-profit urban farm,"Crabtree Farms was founded in 1998 to bring urban sustainable agriculture to Chattanooga. Our mission is to connect Chattanoogans with our local foodshed. We serve the greater Chattanooga community through education and advocacy programs that teach about growing food sustainably and choosing local produce. We produce sustainably-grown fruits, vegetables, and nursery stock, which we sell at the Main Street Farmers Market, at our seasonal on-site farm store, and to restaurants in downtown Chattanooga. Our Plant Sales, held in April and September each year, are a source of healthy-sustainably grown plant starts, live entertainment, and opportunities to shop for goods from local vendors. All are welcome to learn and work on the farm through our volunteer and internship programs, or by attending one of our many workshops. School groups are welcome.",-85.300271,35.0111974,,Hand washing station(s);Flush toilets;Picnic areas with tables;,1,1,0,1,0,,"Non-Certified, but Practicing Organic;",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,Volunteer Work;Cash;Debit card/Credit card;,0,1,1,0,0,1,0,0,,,SNAP;,0,1,0,0,,
701647,2022-03-17 12:49:49,Spindrift Orchard & Vineyard,"34838 Cherrywood Lane, Polson, MT, USA",,0,0,0,0,0,,,,,,Women-Owned Business;,0,0,1,0,0,0,0,,"We proudly grow USDA certified Organic Cherries and Wine Grapes on the pristine East Shore of Flathead Lake.  We conserve water and energy in our efficient, high density, pedestrian orchard system. We strive to provide the highest quality, most nutrient packed locally grown organic food. U-pick fruit and farm visits available during cherry season.",-114.08936,47.7456671,Entrance gate located along South Finley Point Road at the junction of South Finley Point Road and Cherrywood Lane. Paved Road.,Hand washing station(s);,1,0,0,0,0,,Organic (USDA Certified);No pesticides;,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Through farm’s website;,1,0,0,0,,,,Yes;,,0,0,0,,,,On-farm pickups/roadside stands;,1,0,0,,Volunteer Work;Cash;Debit card/Credit card;,0,1,1,0,0,1,0,0,,,,0,0,0,0,,
701652,2022-03-30 09:49:07,Howling Flats Farm,"19 Raymond Avenue, North Canaan, Connecticut 06018",FINE - Farm to Institution Network ;New CT Young Farmers Association ;,0,1,1,0,0,,FINE - Farm to Institution Network ,New CT Young Farmers Association ,,,Women-Owned Business;,0,0,1,0,0,0,0,,"Howling Flats Farm is a small family farm in the NW Corner of Connecticut raising Certified Humane Grass fed Angus, pasture raised pork and lamb utilizing holistic management practices.",-73.3552462,42.0103946,,,0,0,0,0,0,,"Non-Certified, but Practicing Organic;No antibiotics;Non-GMO;No hormones;No pesticides;Grass Fed;Pasture-raised/free-range animals;Humane treatment of animals;Grass finished;",0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,Grass finished,Through farm’s website;,1,0,0,0,,,,Yes;,Pay as you go options;,0,0,1,,,Pay as you go options,On-farm pickups/roadside stands;Delivery to customers’ home;,1,0,1,,Cash;Personal Checks;Commerical Checks/Accounts;Debit card/Credit card;PayPal Venmo square;,0,0,1,1,1,1,1,0,PayPal Venmo square,,,0,0,0,0,,
701656,2022-04-14 09:04:41,Allison Family Farm LLC,"124 Diamond Lake Lane, Crescent City, FL, USA",,0,0,0,0,0,,,,,,Veteran-Owned Business;,0,0,0,1,0,0,0,,"Allison Family Farm LLC is a U-Pick family farm located in Crescent City FL. We grow Pears, Persimmons, Olives, Figs, Grapes & Blackberries. We also sell wholesale in boxed lots. Together with the fruit we grow we also raise Ducks, Geese, Peacocks & Turkeys.",-81.5767371,29.423516,Four miles west of Crescent City on CR 308,Hand washing station(s);Flush toilets;Picnic areas without tables;Picnic areas with tables;,1,1,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Through farm’s website;,1,0,0,0,,,,Yes;,,0,0,0,,,,On-farm pickups/roadside stands;,1,0,0,,Cash;PayPal;,0,0,1,0,0,0,1,0,PayPal,,,0,0,0,0,,
701648,2022-04-14 11:26:14,Goldenrust Farm,"12503 County Road 9 E, Eyota, MN 55934",Three Rivers Cattlemans;,0,1,0,0,0,,Three Rivers Cattlemans,,,,Women-Owned Business;,0,0,1,0,0,0,0,,"Goldenrust Farm is a diversified livestock and crop farm, focused on growing delicious food for families. We currently produce beef, lamb, and pork on our farm north of Eyota, MN east of Rochester. We also sell extra hay and straw to keep our customer\'s furry/woolly friends healthy and happy! Peter, Jess, and the rest of the #Farmily strive to produce the highest quality meats, while working hard to continue to leave the land better than we found it.

A little bit about us:
We purchased our 40 acre farm in rural Olmsted County the Fall of 2011, and have been blessed with many adventures in love, life, and agriculture since then. Our farm just north of Eyota, Minnesota is currently the home to Peter & Jessica, three kids, a dog, a cat, chickens, beef, pigs, and sheep. Even with all the changes in the world a lot of things on a farm are very much the same. The miracles and hope we see every day growing local foods is something especially needed in the world today.",,,,Hand washing station(s);Picnic areas without tables;,1,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Through farm’s website;Online Wabasha Farmer\'s Markets, Select Local Schools;",1,0,1,0,,"Online Wabasha Farmer\'s Markets, Select Local Schools",,Yes;,,0,0,0,,,,"On-farm pickups/roadside stands;Pick up at Wabasha Farmers Market if ordered through that platform, or Pick up at Eyota or Plainview Farmers Market;Delivery to customers’ home;",1,1,1,"Pick up at Wabasha Farmers Market if ordered through that platform, or Pick up at Eyota or Plainview Farmers Market","Cash;Personal Checks;Commerical Checks/Accounts;Debit card/Credit card;VENMO,Credit card,Debit Card;",0,0,1,1,1,1,1,0,"VENMO,Credit card,Debit Card",,SNAP;,0,1,0,0,,
701658,2022-04-14 18:28:08,"Sun Gold Farm, llc","6995 NW Evers Rd, Forest Grove, OR 97116",,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,"We are a small, sustainable family farm located in the beautiful, fertile Tualatin Valley near Forest Grove, Oregon, USA.  We are located near the small Dutch community of Verboort, where four generations before us have farmed and cared for the land that was once part of the Atfalati native tribe.  Our farm lies along West Dairy Creek, probably named because of the many dairies that used to be in this part of the county.  We have two natural wetlands on our farm and plenty of wildlife.  But mostly, we have vegetables, fruits, plants, and full days of work.  We are fortunate to enjoy what we do for a living!",,,,,0,0,0,0,0,,"Non-Certified, but Practicing Organic;Non-GMO;No pesticides;",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,Through farm’s website;,1,0,0,0,,,,;,,0,0,0,,,,Delivery to customers’ home;,0,0,1,,"Cash;Debit card/Credit card;Apple Pay,Google Pay;EBT;",0,0,1,0,0,1,1,1,"Apple Pay,Google Pay",EBT,WIC;SNAP;,1,1,0,0,,
701659,2022-04-15 22:43:56,Moon River Ranch CSA,"Ranch Lane, 45 Moon River Road, Clinton, MT, USA",,0,0,0,0,0,,,,,,Women-Owned Business;,0,0,1,0,0,0,0,,"Moon River Ranch CSA provides local, naturally grown produce to Bonner, Clinton, Drummond, Philipsburg, and Deer Lodge. Our CSA operates between June and October, offering convenient weekly pickups, add on products like meat, eggs, herbs, plant starts, salves, and seasonal fruit from local orchards. Our CSA offers two sizes depending on family size, and accept SNAP and Double SNAP benefits. ",,,,,0,0,0,0,0,,"Non-Certified, but Practicing Organic;Non-GMO;",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,Through farm’s website;,1,0,0,0,,,,Yes;,,0,0,0,,,,On-farm pickups/roadside stands;,1,0,0,,Barter;Volunteer Work;Cash;Personal Checks;Commerical Checks/Accounts;Debit card/Credit card;Venmo;,1,1,1,1,1,1,1,0,Venmo,,SNAP;,0,1,0,0,,
701660,2022-04-18 16:52:46,Crosswinds Farm & Creamery,"4721 New York 14A, Rock Stream, NY, USA",,,,,,,,,,,,,,,,,,,,,,-76.9658924,42.4606582,On-farm retail store & scoop shop!,Picnic areas without tables;Picnic areas with tables;,0,0,1,1,0,,"Grass Fed;Pasture-raised/free-range animals;Humane treatment of animals;Fair labor practices, living wage, fair trade, etc.;",0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,,Through farm’s website;Ithaca Farmers Market;,1,0,1,0,,Ithaca Farmers Market,,Yes;,Freezer bundles;,0,0,1,,,Freezer bundles,On-farm pickups/roadside stands;Press Bay Food Hub;Delivery to customers’ home;,1,1,1,Press Bay Food Hub,,,,,,,,,,,,,,,,,,
701661,2022-04-22 10:15:15,The Twenty-Eight Eleven (The 2811),"211 Melaleuca Ln, Abbeville, SC 29620",,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,,"We are a family owned and run farm.  We have grass-fed cows, pastured pigs(Large Black crossed with Tamworth), egg-laying chickens, honeybees, and vegetables in the summer. We also sometimes raise meat chickens and turkeys.",-82.416,34.174219,"At the end of the dirt road. Map shows road name as \""Nelson\"" but the correct name is \""Melaleuca\"" and road sign is :Melaleuca\""",,0,0,0,0,0,,"Non-Certified, but Practicing Organic;No antibiotics;No hormones;No pesticides;Grass Fed;Pasture-raised/free-range animals;Humane treatment of animals;",0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,,,0,0,0,0,,,,Yes;,,0,0,0,,,,On-farm pickups/roadside stands;,1,0,0,,"Cash;Venmo,paypal,Cash App;",0,0,1,0,0,0,1,0,"Venmo,paypal,Cash App",,,0,0,0,0,,
