GEOID,NAME,POPULATION
01003,"Baldwin County, Alabama",239294
01015,"Calhoun County, Alabama",115972
01043,"Cullman County, Alabama",89496
01049,"DeKalb County, Alabama",71813
01051,"Elmore County, Alabama",89304
01055,"Etowah County, Alabama",103162
01069,"Houston County, Alabama",107458
01073,"Jefferson County, Alabama",667820
01077,"Lauderdale County, Alabama",94043
01081,"Lee County, Alabama",177218
01083,"Limestone County, Alabama",107517
01089,"Madison County, Alabama",395211
01095,"Marshall County, Alabama",98228
01097,"Mobile County, Alabama",413073
01101,"Montgomery County, Alabama",227434
01103,"Morgan County, Alabama",123668
01115,"St. Clair County, Alabama",92748
01117,"Shelby County, Alabama",226902
01121,"Talladega County, Alabama",81524
01125,"Tuscaloosa County, Alabama",227007
02020,"Anchorage Municipality, Alaska",288121
02090,"Fairbanks North Star Borough, Alaska",95593
02170,"Matanuska-Susitna Borough, Alaska",110686
04001,"Apache County, Arizona",65623
04003,"Cochise County, Arizona",126050
04005,"Coconino County, Arizona",145052
04013,"Maricopa County, Arizona",4496588
04015,"Mohave County, Arizona",217692
04017,"Navajo County, Arizona",108147
04019,"Pima County, Arizona",1052030
04021,"Pinal County, Arizona",449557
04025,"Yavapai County, Arizona",242253
04027,"Yuma County, Arizona",206990
05007,"Benton County, Arkansas",293692
05031,"Craighead County, Arkansas",112218
05045,"Faulkner County, Arkansas",125106
05051,"Garland County, Arkansas",100330
05069,"Jefferson County, Arkansas",65861
05085,"Lonoke County, Arkansas",74722
05119,"Pulaski County, Arkansas",397821
05125,"Saline County, Arkansas",125233
05131,"Sebastian County, Arkansas",128400
05143,"Washington County, Arkansas",250057
05145,"White County, Arkansas",77207
06001,"Alameda County, California",1648556
06007,"Butte County, California",208309
06013,"Contra Costa County, California",1161413
06017,"El Dorado County, California",193221
06019,"Fresno County, California",1013581
06023,"Humboldt County, California",136310
06025,"Imperial County, California",179851
06029,"Kern County, California",917673
06031,"Kings County, California",153443
06033,"Lake County, California",68766
06037,"Los Angeles County, California",9829544
06039,"Madera County, California",159410
06041,"Marin County, California",260206
06045,"Mendocino County, California",91305
06047,"Merced County, California",286461
06053,"Monterey County, California",437325
06055,"Napa County, California",136207
06057,"Nevada County, California",103487
06059,"Orange County, California",3167809
06061,"Placer County, California",412300
06065,"Riverside County, California",2458395
06067,"Sacramento County, California",1588921
06069,"San Benito County, California",66677
06071,"San Bernardino County, California",2194710
06073,"San Diego County, California",3286069
06075,"San Francisco County, California",815201
06077,"San Joaquin County, California",789410
06079,"San Luis Obispo County, California",283159
06081,"San Mateo County, California",737888
06083,"Santa Barbara County, California",446475
06085,"Santa Clara County, California",1885508
06087,"Santa Cruz County, California",267792
06089,"Shasta County, California",182139
06095,"Solano County, California",451716
06097,"Sonoma County, California",485887
06099,"Stanislaus County, California",552999
06101,"Sutter County, California",99063
06103,"Tehama County, California",65498
06107,"Tulare County, California",477054
06111,"Ventura County, California",839784
06113,"Yolo County, California",216986
06115,"Yuba County, California",83421
08001,"Adams County, Colorado",522140
08005,"Arapahoe County, Colorado",654900
08013,"Boulder County, Colorado",329543
08014,"Broomfield County, Colorado",75325
08031,"Denver County, Colorado",711463
08035,"Douglas County, Colorado",368990
08041,"El Paso County, Colorado",737867
